,fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum, Accessibility_Index,NAME_x,group_0_17,group_18_34,group_35_49,group_50_up,NAME_y,below_high_school,high_school_grad,some_college_assoc,bachelors_plus
21,347,6001421800,1,Census Tract 4218,171168.0,5674.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4218; Alameda County; California,2024.0,2173.0,1480.0,19.0,255.0,129.0,0.6810860561435803,0.0087436723423838,0.1173492867004141,0.0593649332719742,0.3189139438564197,183467.0,1522000.0,926.0,622.0,304.0,0.67170626349892,0.204484209068272,10626.7374380703,539574269.62,248308.454,Census Tract 4218; Alameda County; California,370,383,444,976,Census Tract 4218; Alameda County; California,36,58,144,1520
22,346,6001421700,1,Census Tract 4217,108339.0,22360.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4217; Alameda County; California,2024.0,3346.0,2176.0,146.0,708.0,196.0,0.6503287507471608,0.0436341900777047,0.2115959354453078,0.0585774058577405,0.3496712492528392,115139.0,1527300.0,1659.0,502.0,1157.0,0.3025919228450874,0.2236143637265593,14963.260607406975,494340956.54,147740.872,Census Tract 4217; Alameda County; California,368,1132,667,1179,Census Tract 4217; Alameda County; California,38,52,359,2123
23,349,6001420600,1,Census Tract 4206,169868.0,58307.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4206; Alameda County; California,2024.0,3480.0,2231.0,55.0,506.0,299.0,0.6410919540229885,0.0158045977011494,0.1454022988505747,0.085919540229885,0.3589080459770115,199091.0,1573600.0,1322.0,1024.0,298.0,0.7745839636913767,0.3076364731720415,11312.052709867914,384953969.62,110618.957,Census Tract 4206; Alameda County; California,861,426,808,1385,Census Tract 4206; Alameda County; California,26,66,242,2120
24,343,6001420500,1,Census Tract 4205,127000.0,18378.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4205; Alameda County; California,2024.0,2462.0,1101.0,82.0,644.0,398.0,0.4471974004874086,0.033306255077173,0.2615759545085296,0.1616571892770105,0.5528025995125914,137105.0,1246000.0,936.0,487.0,449.0,0.5202991452991453,0.1600903689704519,15378.813952602077,269694367.51,109542.798,Census Tract 4205; Alameda County; California,652,352,653,805,Census Tract 4205; Alameda County; California,62,76,263,1282
25,345,6001421400,1,Census Tract 4214,208500.0,78822.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4214; Alameda County; California,2024.0,1739.0,1151.0,68.0,110.0,207.0,0.6618746405980449,0.039102932719954,0.0632547441058079,0.1190339275445658,0.3381253594019551,226250.0,1662300.0,650.0,549.0,101.0,0.8446153846153847,0.1828079609894587,9512.71482154038,386151956.54,222054.029,Census Tract 4214; Alameda County; California,257,302,278,902,Census Tract 4214; Alameda County; California,11,87,114,1164
26,341,6001420100,1,Census Tract 4201,188125.0,32101.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4201; Alameda County; California,2024.0,2636.0,1298.0,146.0,569.0,332.0,0.4924127465857359,0.0553869499241274,0.2158573596358118,0.125948406676783,0.507587253414264,197813.0,1314700.0,1039.0,824.0,215.0,0.793070259865255,0.2167820325006763,12159.679331319934,150468069.62,57081.969,Census Tract 4201; Alameda County; California,578,298,567,1193,Census Tract 4201; Alameda County; California,57,259,219,1451
27,344,6001421100,1,Census Tract 4211,234243.0,19479.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4211; Alameda County; California,2024.0,2214.0,1539.0,104.0,209.0,143.0,0.6951219512195121,0.046973803071364,0.0943992773261065,0.0645889792231255,0.3048780487804878,250001.0,1725700.0,876.0,799.0,77.0,0.9121004566210046,0.2923957716754073,7571.9289212492195,153382856.54,69278.616,Census Tract 4211; Alameda County; California,346,261,393,1214,Census Tract 4211; Alameda County; California,24,69,91,1546
28,947,6001421200,1,Census Tract 4212,247171.0,30255.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4212; Alameda County; California,2024.0,3588.0,2126.0,0.0,879.0,269.0,0.592530657748049,0.0,0.2449832775919732,0.0749721293199554,0.4074693422519509,250001.0,1960800.0,1437.0,1378.0,59.0,0.9589422407794016,0.5017626397063258,7150.791462074583,226408156.54,63101.493,Census Tract 4212; Alameda County; California,618,322,546,2102,Census Tract 4212; Alameda County; California,23,89,175,2611
29,965,6001421300,1,Census Tract 4213,130500.0,57509.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4213; Alameda County; California,2024.0,4131.0,2866.0,11.0,576.0,38.0,0.6937787460663277,0.0026627935124667,0.1394335511982571,0.009198741224885,0.3062212539336723,148235.0,1575200.0,1850.0,1516.0,334.0,0.8194594594594594,0.4226275310091099,9774.56435489754,353675269.62,85614.928,Census Tract 4213; Alameda County; California,823,360,618,2330,Census Tract 4213; Alameda County; California,41,104,271,2666
30,982,6001421500,1,Census Tract 4215,201950.0,33211.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4215; Alameda County; California,2024.0,3989.0,3108.0,87.0,308.0,263.0,0.7791426422662321,0.0218099774379543,0.0772123339182752,0.0659313111055402,0.2208573577337679,226181.0,1644000.0,1581.0,1309.0,272.0,0.8279569892473119,0.5983745359958547,6666.393303921667,236094456.54,59186.377,Census Tract 4215; Alameda County; California,697,609,862,1821,Census Tract 4215; Alameda County; California,85,100,308,2534
