fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum,Accessibility_Index
1141,"06075010902","075",Census Tract 109.02,137141.000000000000000,56249.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 109.02; San Francisco County; California","2024","2589","1563","0","571","304","0.6037079953650057","0","0.2205484743144071","0.11741985322518347","0.39629200463499425","155234","1319100","1461","184","1277","0.12594113620807665","0.04906257862127368","52769.342190208525",,
1161,"06075013001","075",Census Tract 130.01,191541.000000000000000,63973.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 130.01; San Francisco County; California","2024","1427","1132","7","120","92","0.7932725998598459","0.004905395935529082","0.08409250175192712","0.0644709180098108","0.20672740014015412","154659","2000001","911","289","622","0.3172338090010977","0.07005212495397331","20370.54551789241",,
1138,"06075010901","075",Census Tract 109.01,183194.000000000000000,64699.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 109.01; San Francisco County; California","2024","2067","1351","13","205","281","0.6536042573778423","0.006289308176100629","0.09917755200774069","0.13594581519109822","0.34639574262215767","183468","2000001","1058","152","906","0.14366729678638943","0.04762322790452769","43403.18980779301",,
1148,"06075010701","075",Census Tract 107.01,24085.000000000000000,8439.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 107.01; San Francisco County; California","2024","3021","124","0","2784","38","0.04104601125455147","0","0.9215491559086395","0.012578616352201259","0.9589539887454486","24854","1120400","1792","110","1682","0.06138392857142857","0.03784988080008624","79815.31080523552",,
509,"06075010600","075",Census Tract 106,58060.000000000000000,40541.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 106; San Francisco County; California","2024","2957","787","104","1480","390","0.26614812309773417","0.03517078119715928","0.5005072708826513","0.13189042948934732","0.7338518769022658","75938","1560200","1723","161","1562","0.0934416715031921","0.07214369057023219","40987.64530380308",,
231,"06075012902","075",Census Tract 129.02,205463.000000000000000,15824.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 129.02; San Francisco County; California","2024","2589","1751","18","436","172","0.6763229045963692","0.006952491309385863","0.16840478949401314","0.0664349169563538","0.32367709540363077","189444","1976600","1734","403","1331","0.23241061130334487","0.13688567400679538","18913.593542823735",,
1149,"06075010702","075",Census Tract 107.02,77524.000000000000000,22275.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 107.02; San Francisco County; California","2024","1398","415","0","707","208","0.2968526466380544","0","0.505722460658083","0.14878397711015737","0.7031473533619457","84904","1716900","660","129","531","0.19545454545454546","0.03287029146111793","42530.80632563559",,
507,"06075010300","075",Census Tract 103,149766.000000000000000,34614.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 103; San Francisco County; California","2024","3824","2238","0","925","435","0.5852510460251046","0","0.24189330543933055","0.11375523012552301","0.4147489539748954","158144","1202500","2060","440","1620","0.21359223300970873","0.10362514093640084","36902.24172864529",,
1123,"06075010402","075",Census Tract 104.02,202050.000000000000000,62943.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 104.02; San Francisco County; California","2024","1924","1292","31","431","82","0.6715176715176715","0.016112266112266113","0.224012474012474","0.04261954261954262","0.3284823284823285","203354","1341500","1233","391","842","0.3171127331711273","0.07484526397502733","25706.36935213371",,
1162,"06075010201","075",Census Tract 102.01,147427.000000000000000,34200.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 102.01; San Francisco County; California","2024","2650","1711","153","189","344","0.6456603773584906","0.057735849056603776","0.07132075471698113","0.129811320754717","0.3543396226415094","156017","1927600","1399","406","993","0.2902072909220872","0.0721485127773553","36729.793837576304",,
229,"06075012601","075",Census Tract 126.01,180123.000000000000000,11356.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 126.01; San Francisco County; California","2024","2105","1504","0","197","133","0.7144893111638955","0","0.09358669833729216","0.06318289786223277","0.28551068883610453","171058","2000001","1282","286","996","0.22308892355694226","0.0661630007687762","31815.364713527273",,
1147,"06075010401","075",Census Tract 104.01,173750.000000000000000,108948.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 104.01; San Francisco County; California","2024","2427","1266","7","585","467","0.5216316440049443","0.00288421920065925","0.24103831891223734","0.19241862381540997","0.47836835599505567","181705","2000001","953","233","720","0.24449108079748164","0.05486346173418981","44237.091923923246",,
1115,"06075010202","075",Census Tract 102.02,208750.000000000000000,53160.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 102.02; San Francisco County; California","2024","1839","1240","30","277","51","0.6742794997281131","0.01631321370309951","0.1506253398586188","0.02773246329526917","0.3257205002718869","176958","1417300","1099","299","800","0.27206551410373064","0.14593879847934607","12601.172677602",,
230,"06075012602","075",Census Tract 126.02,189500.000000000000000,56360.000000000000000,"38001",San Francisco,San Francisco County,San Francisco,"0667000",City,City of San Francisco,2411786,San Francisco,"Census Tract 126.02; San Francisco County; California","2024","3071","2508","8","212","137","0.8166720937805275","0.0026050146532074245","0.06903288830999674","0.044610875936177144","0.18332790621947248","244000","1945300","1470","454","1016","0.308843537414966","0.23316510846564928","13170.924330011541",,
